ADAR
ATP6V0B
B2M
BAG1
BBC3
BST2
BTG1
C1S
CASP8
CD164
COL16A1
CSRP3
CYCS
DDX17
EIF2B1
EPS15
FAS
GBP1
GMPR
HLA-A
HLA-C
HLA-E
IFI16
IFI30
IFI35
IFI44
IFI6
IFIT1
IFIT3
IFITM1
IL6
IRF1
IRF2
IRF9
ISG15
LIPA
MAP3K10
MX1
MX2
NMI
OAS1
OAS2
OASL
PDXK
PLOD2
PLSCR1
PMAIP1
PML
POLR2B
PPP3CA
PSMB10
PSMB8
PSMB9
PSME1
RBBP4
RHOC
SDCBP
SEM1
SKP1
SMAD4
SP110
SRP9
SRSF2
SSBP1
STAT1
TAP1
TEAD4
TRIM14
TRIM21
TRIM22
TRIM26
VEGFC
XRCC6
ZFP36L2
